Fam_ID,Membership,ID,TGLA227_1,TGLA227_2,BM2113_1,BM2113_2,TGLA53_1,TGLA53_2,ETH10_1,ETH10_2,SPS115_1,SPS115_2,TGLA126_1,TGLA126_2,TGLA122_1,TGLA122_2,INRA23_1,INRA23_2,ETH3_1,ETH3_2,ETH225_1,ETH225_2,BM1824_1,BM1824_2
Fam_001,F,Fam_001_F,77.10,92.98,122.71,132.25,158.32,166.57,216.63,216.63,243.69,243.69,116.77,116.77,142.11,173.38,206.11,211.83,114.35,114.35,134.96,145.34,189.83,189.83
Fam_001,C,Fam_001_C,76.94,79.19,122.34,122.34,166.10,183.93,210.84,216.52,243.66,245.68,116.55,118.57,172.98,172.98,206.95,208.94,113.84,113.84,134.56,142.88,179.29,189.66
Fam_001,M,Fam_001_M,79.61,99.65,122.82,124.70,168.55,184.46,211.02,216.64,245.72,247.64,118.96,121.05,153.90,173.38,196.73,208.05,114.35,114.35,143.39,143.39,179.60,183.71
Fam_002,F,Fam_002_F,81.49,92.58,124.53,136.11,151.80,183.99,216.48,220.27,243.55,243.55,116.60,118.74,141.94,149.06,204.23,208.01,114.11,124.71,134.96,145.40,189.54,189.54
Fam_002,C,Fam_002_C,93.28,95.45,122.98,124.87,152.35,156.53,216.81,220.49,243.76,243.76,119.01,125.39,149.53,162.84,204.37,206.26,114.55,114.55,135.25,143.81,183.78,189.94
Fam_002,M,Fam_002_M,84.26,95.42,122.76,124.64,156.34,156.34,215.78,216.73,243.75,243.75,118.92,125.19,149.50,162.79,206.24,210.05,114.24,114.24,134.91,143.44,183.82,183.82
Fam_003,F,Fam_003_F,84.44,99.69,122.88,136.40,160.51,166.72,207.27,211.06,243.93,247.65,119.05,125.21,135.46,162.86,206.30,212.03,114.36,114.36,135.05,143.60,181.83,184.01
Fam_003,C,Fam_003_C,84.42,105.92,132.48,136.54,160.63,166.72,211.06,214.86,243.77,247.58,119.13,123.31,135.57,165.05,208.17,211.96,114.56,123.10,143.69,143.69,183.83,190.01
Fam_003,M,Fam_003_M,99.40,105.70,122.75,132.31,156.24,160.34,210.81,214.60,242.52,243.50,123.09,123.09,142.17,164.77,205.94,207.89,122.86,122.86,143.31,147.73,183.51,189.64
Fam_004,F,Fam_004_F,84.44,99.69,122.88,136.40,160.51,166.72,207.27,211.06,243.93,247.65,119.05,125.21,135.46,162.86,206.30,212.03,114.36,114.36,135.05,143.60,181.83,184.01
Fam_004,C,Fam_004_C,84.42,84.42,132.59,136.43,156.42,160.53,207.27,216.75,243.77,247.58,119.13,125.30,135.57,165.05,206.28,211.96,114.56,127.30,143.81,143.81,181.69,189.91
Fam_004,M,Fam_004_M,84.29,99.76,124.74,132.40,156.45,166.70,216.80,216.80,247.58,249.58,118.89,118.89,142.29,164.97,200.55,206.14,124.97,127.16,143.73,147.92,188.97,189.86
Fam_005,F,Fam_005_F,84.44,99.69,122.88,136.40,160.51,166.72,207.27,211.06,243.93,247.65,119.05,125.21,135.46,162.86,206.30,212.03,114.36,114.36,135.05,143.60,181.83,184.01
Fam_005,C,Fam_005_C,84.24,95.36,132.30,136.27,156.36,166.60,210.90,216.61,243.80,247.57,118.96,118.96,149.42,162.79,204.32,211.88,112.10,114.21,134.80,143.41,179.69,181.79
Fam_005,M,Fam_005_M,81.69,95.18,122.69,132.32,156.22,160.35,216.57,216.57,243.47,247.31,116.77,118.85,149.35,149.35,204.02,204.02,112.28,114.35,134.94,134.94,179.46,189.70
Fam_006,F,Fam_006_F,81.49,92.58,124.53,136.11,151.80,183.99,216.48,220.27,243.55,243.55,116.60,118.74,141.94,149.06,204.23,208.01,114.11,124.71,134.96,145.40,189.54,189.54
Fam_006,C,Fam_006_C,93.15,93.15,124.65,124.65,152.10,166.62,216.69,220.43,243.75,251.49,118.94,118.94,142.13,149.31,200.69,204.31,122.61,124.75,145.38,145.38,181.84,190.00
Fam_006,M,Fam_006_M,77.09,92.78,124.47,124.47,158.02,166.20,216.50,216.50,249.28,251.25,118.74,118.74,141.81,141.81,200.55,211.86,118.26,122.45,134.76,145.26,181.36,181.36
Fam_007,F,Fam_007_F,81.98,91.02,132.56,132.56,160.68,166.86,216.86,216.86,243.93,255.51,118.99,125.40,142.43,147.36,204.26,211.95,112.42,123.03,145.84,145.84,181.79,183.87
Fam_007,C,Fam_007_C,93.17,99.59,122.81,126.53,160.51,166.58,216.63,216.63,243.59,247.48,116.83,125.22,142.18,173.40,200.67,211.91,122.71,124.92,139.00,145.59,181.71,181.71
Fam_007,M,Fam_007_M,92.01,99.48,122.87,122.87,160.51,166.60,214.75,214.75,243.72,247.61,116.77,118.86,149.43,162.75,200.67,211.95,118.56,124.99,143.43,145.70,179.68,181.75
Fam_008,F,Fam_008_F,84.44,99.69,122.88,136.40,160.51,166.72,207.27,211.06,243.93,247.65,119.05,125.21,135.46,162.86,206.30,212.03,114.36,114.36,135.05,143.60,181.83,184.01
Fam_008,C,Fam_008_C,99.78,99.78,123.00,136.44,158.62,160.63,207.32,220.59,243.84,247.63,123.20,125.29,151.77,162.92,206.23,211.97,114.53,114.53,135.28,143.81,183.94,189.97
Fam_008,M,Fam_008_M,81.59,99.44,126.45,136.16,158.21,166.47,216.52,220.33,243.59,255.34,118.91,123.04,146.89,151.39,206.05,211.79,114.18,114.18,134.75,145.22,187.72,189.79
Fam_009,F,Fam_009_F,99.20,99.20,122.44,135.99,162.20,166.30,214.61,216.53,243.66,243.66,116.65,116.65,162.49,162.49,196.83,200.55,124.52,124.52,143.17,145.20,179.46,181.51
Fam_009,C,Fam_009_C,93.25,99.89,122.87,122.87,156.65,162.84,214.87,218.62,243.88,243.88,117.05,119.15,142.41,163.04,200.77,200.77,114.47,125.09,139.23,143.66,179.80,190.13
Fam_009,M,Fam_009_M,84.33,93.19,122.80,132.49,156.47,166.77,216.65,218.54,243.71,243.71,119.05,119.05,142.41,162.82,198.72,200.59,112.44,114.60,139.35,145.92,183.74,189.87
Fam_010,F,Fam_010_F,99.20,99.20,122.44,135.99,162.20,166.30,214.61,216.53,243.66,243.66,116.65,116.65,162.49,162.49,196.83,200.55,124.52,124.52,143.17,145.20,179.46,181.51
Fam_010,C,Fam_010_C,84.41,99.67,132.41,136.40,152.35,166.65,211.02,216.64,243.63,247.37,118.94,125.16,135.53,142.33,206.11,211.83,114.54,125.16,135.32,145.88,183.78,189.80
Fam_010,M,Fam_010_M,99.79,99.79,124.90,132.57,152.49,158.75,216.73,216.73,243.84,243.84,117.03,119.11,142.37,173.70,208.26,212.06,125.10,125.10,145.74,145.74,190.13,190.13
