Fam_ID,Offspring_ID,Parent_ID,Parent_Type,Total_Checked,Passed,Failed,Match_%,Failed_Markers,Status
Fam_001,Fam_001_C,Fam_001_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_001,Fam_001_C,Fam_001_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_002,Fam_002_C,Fam_002_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_002,Fam_002_C,Fam_002_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_003,Fam_003_C,Fam_003_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_003,Fam_003_C,Fam_003_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_004,Fam_004_C,Fam_004_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_004,Fam_004_C,Fam_004_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_005,Fam_005_C,Fam_005_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_005,Fam_005_C,Fam_005_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_006,Fam_006_C,Fam_006_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_006,Fam_006_C,Fam_006_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_007,Fam_007_C,Fam_007_F,พ่อ (F),11,9,2,81.8%,"BM2113, TGLA227",❌ Mismatch (2)
Fam_007,Fam_007_C,Fam_007_M,แม่ (M),11,10,1,90.9%,TGLA122,❌ Mismatch (1)
Fam_008,Fam_008_C,Fam_008_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_008,Fam_008_C,Fam_008_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_009,Fam_009_C,Fam_009_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_009,Fam_009_C,Fam_009_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_010,Fam_010_C,Fam_010_F,พ่อ (F),11,7,4,63.6%,"BM1824, TGLA126, TGLA122, INRA23",❌ Mismatch (4)
Fam_010,Fam_010_C,Fam_010_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_011,Fam_011_C,Fam_011_F,พ่อ (F),11,7,4,63.6%,"BM1824, TGLA126, TGLA122, INRA23",❌ Mismatch (4)
Fam_011,Fam_011_C,Fam_011_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_012,Fam_012_C,Fam_012_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_012,Fam_012_C,Fam_012_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_013,Fam_013_C,Fam_013_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_013,Fam_013_C,Fam_013_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_014,Fam_014_C,Fam_014_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_014,Fam_014_C,Fam_014_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_015,Fam_015_C,Fam_015_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_015,Fam_015_C,Fam_015_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_016,Fam_016_C,Fam_016_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_016,Fam_016_C,Fam_016_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_017,Fam_017_C,Fam_017_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_017,Fam_017_C,Fam_017_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_018,Fam_018_C,Fam_018_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_018,Fam_018_C,Fam_018_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_019,Fam_019_C,Fam_019_F,พ่อ (F),11,10,1,90.9%,ETH10,❌ Mismatch (1)
Fam_019,Fam_019_C,Fam_019_M,แม่ (M),11,10,1,90.9%,ETH10,❌ Mismatch (1)
Fam_020,Fam_020_C,Fam_020_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_020,Fam_020_C,Fam_020_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_021,Fam_021_C,Fam_021_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_021,Fam_021_C,Fam_021_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_022,Fam_022_C,Fam_022_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_022,Fam_022_C,Fam_022_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_023,Fam_023_C,Fam_023_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_023,Fam_023_C,Fam_023_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_024,Fam_024_C,Fam_024_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_024,Fam_024_C,Fam_024_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_025,Fam_025_C,Fam_025_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_025,Fam_025_C,Fam_025_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_026,Fam_026_C,Fam_026_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_026,Fam_026_C,Fam_026_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_027,Fam_027_C,Fam_027_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_027,Fam_027_C,Fam_027_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_028,Fam_028_C,Fam_028_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_028,Fam_028_C,Fam_028_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_029,Fam_029_C,Fam_029_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_029,Fam_029_C,Fam_029_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_030,Fam_030_C,Fam_030_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_030,Fam_030_C,Fam_030_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_031,Fam_031_C,Fam_031_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_031,Fam_031_C,Fam_031_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_032,Fam_032_C,Fam_032_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_032,Fam_032_C,Fam_032_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_033,Fam_033_C,Fam_033_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_033,Fam_033_C,Fam_033_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_034,Fam_034_C,Fam_034_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_034,Fam_034_C,Fam_034_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_035,Fam_035_C,Fam_035_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_035,Fam_035_C,Fam_035_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_036,Fam_036_C,Fam_036_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_036,Fam_036_C,Fam_036_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_037,Fam_037_C,Fam_037_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
